threshold,flag_rate,precision,recall,f1,expected_cost_inr,expected_net_inr_per_1000,realized_net_inr_per_1000,true_positives,false_positives,is_operating_point
0.53,0.05014749262536873,0.6666666666666666,0.17525773195876287,0.27755102040816326,79440.08242411609,2909.052466820415,3234.5132743362833,68,34,False
0.54,0.045722713864306784,0.6774193548387096,0.16237113402061856,0.26195426195426197,79777.73378084938,2743.0488499407347,3048.6725663716816,63,30,False
0.55,0.043264503441494594,0.6818181818181818,0.15463917525773196,0.25210084033613445,79977.9587221735,2644.609842406745,2923.3038348082596,60,28,False
0.56,0.03982300884955752,0.654320987654321,0.13659793814432988,0.22601279317697226,80272.34421443922,2499.877545324289,2469.0265486725666,53,28,False
0.57,0.037856440511307765,0.6493506493506493,0.12886597938144329,0.2150537634408602,80448.80422806123,2413.1223763852495,2308.9970501474927,50,27,False
0.58,0.03343166175024582,0.6617647058823529,0.11597938144329897,0.19736842105263158,80859.74256624235,2211.087795175251,2123.1563421828905,45,23,False
0.59,0.030973451327433628,0.6825396825396826,0.11082474226804123,0.1906873614190687,81101.61716431972,2092.172063573795,2097.3451327433627,43,20,False
0.6,0.028023598820058997,0.7192982456140351,0.1056701030927835,0.18426966292134833,81402.68684775512,1944.1535368110513,2106.1946902654868,41,16,False
0.61,0.02654867256637168,0.7222222222222222,0.10051546391752578,0.17647058823529413,81558.24509326852,1867.6745567159821,2011.0619469026547,39,15,False
0.62,0.026057030481809244,0.7169811320754716,0.0979381443298969,0.17233560090702948,81611.34369877858,1841.5690476156512,1946.165191740413,38,15,False
0.63,0.024090462143559487,0.6938775510204082,0.08762886597938144,0.15560640732265446,81835.28855138677,1731.4683334523306,1686.5781710914453,34,15,False
0.64,0.023107177974434612,0.723404255319149,0.08762886597938144,0.15632183908045974,81951.99436742727,1674.090842773625,1755.8997050147493,34,13,False
0.65,0.021140609636184856,0.6976744186046512,0.07731958762886598,0.13921113689095127,82193.32108001962,1555.444474734122,1496.3126843657817,30,13,False
0.66,0.018190757128810225,0.7297297297297297,0.06958762886597938,0.12705882352941178,82566.7487816107,1371.8517010905184,1405.6047197640119,27,10,False
0.67,0.017699115044247787,0.75,0.06958762886597938,0.12735849056603774,82630.99572761616,1340.265198629625,1440.2654867256638,27,9,False
0.68,0.015732546705998034,0.71875,0.059278350515463915,0.10952380952380952,82895.25869397781,1210.3424029749287,1180.6784660766962,23,9,False
0.69,0.014257620452310717,0.7241379310344828,0.05412371134020619,0.10071942446043165,83100.05098564118,1109.657893799227,1085.5457227138643,21,8,False
0.7,0.011307767944936086,0.782608695652174,0.04639175257731959,0.08759124087591241,83520.47834528382,902.9581102974453,994.8377581120944,18,5,False
0.71,0.01032448377581121,0.7619047619047619,0.041237113402061855,0.07823960880195599,83664.80093484397,832.0030515166474,865.0442477876106,16,5,False
0.72,0.008849557522123894,0.7777777777777778,0.03608247422680412,0.06896551724137931,83886.71861247926,722.8989818827589,769.9115044247787,14,4,False
0.73,0.006391347099311701,0.7692307692307693,0.02577319587628866,0.04987531172069825,84268.18675000813,535.353191553931,544.9852507374632,10,3,False
0.74,0.005408062930186824,0.7272727272727273,0.020618556701030927,0.040100250626566414,84423.20381682637,459.1402776806554,415.19174041297936,8,3,False
0.75,0.004916420845624385,0.7,0.01804123711340206,0.03517587939698492,84504.27863244782,419.2804863230041,350.2949852507375,7,3,False
0.76,0.0029498525073746312,0.6666666666666666,0.010309278350515464,0.020304568527918784,84832.07407758322,258.12245036656736,190.26548672566372,4,2,False
0.77,0.0014749262536873156,1.0,0.007731958762886598,0.015345268542199489,85085.43682851574,133.55865934763654,194.69026548672565,3,0,False
0.78,0.0009832841691248771,1.0,0.005154639175257732,0.010256410256410256,85171.82207023534,91.08803903317259,129.79351032448378,2,0,False
0.79,0.0009832841691248771,1.0,0.005154639175257732,0.010256410256410256,85171.82207023534,91.08803903317259,129.79351032448378,2,0,False
0.8,0.0009832841691248771,1.0,0.005154639175257732,0.010256410256410256,85171.82207023534,91.08803903317259,129.79351032448378,2,0,False
0.81,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.82,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.83,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.84,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.85,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.86,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.87,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.88,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.89,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.9,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.91,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.92,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.93,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.94,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.95,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.96,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.97,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.98,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
0.99,0.0,,0.0,,85357.09514162882,0.0,0.0,0,0,False
